portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,21908641,AMP-USD,BUY,2021-12-01T00:04:48.758Z,13000.00000000,AMP,0.06088,1.9786,-793.4186,USD
default,21908642,AMP-USD,BUY,2021-12-01T00:04:48.758Z,20.00000000,AMP,0.06088,0.003044,-1.220644,USD
default,21908643,AMP-USD,BUY,2021-12-01T00:04:48.758Z,14800.00000000,AMP,0.06089,2.25293,-903.42493,USD
default,21908644,AMP-USD,BUY,2021-12-01T00:04:48.758Z,20.00000000,AMP,0.06089,0.0030445,-1.2208445,USD
default,21908645,AMP-USD,BUY,2021-12-01T00:04:48.758Z,120.00000000,AMP,0.06089,0.018267,-7.325067,USD
default,21908646,AMP-USD,BUY,2021-12-01T00:04:48.758Z,28134.00000000,AMP,0.0609,4.2834015,-1717.6440015,USD
default,21998004,LRC-USD,BUY,2021-12-31T14:42:20.690Z,95.00000000,LRC,2.0802,0.6916665,-198.3106665,USD
default,21998005,LRC-USD,BUY,2021-12-31T14:42:20.690Z,240.44408300,LRC,2.0803,1.75068539052715,-501.94651125542715,USD
default,21998006,LRC-USD,BUY,2021-12-31T14:42:20.690Z,164.55591700,LRC,2.0803,1.19813985947285,-343.52381399457285,USD
default,23175568,AMP-USD,BUY,2021-12-16T14:50:53.112Z,3654.00000000,AMP,0.05001,0.45684135,-183.19338135,USD
default,23175569,AMP-USD,BUY,2021-12-16T14:50:53.112Z,10000.00000000,AMP,0.05001,1.25025,-501.35025,USD
default,23175570,AMP-USD,BUY,2021-12-16T14:50:53.112Z,3876.00000000,AMP,0.05002,0.4846938,-194.3622138,USD
default,23175571,AMP-USD,BUY,2021-12-16T14:50:53.112Z,2427.00000000,AMP,0.05002,0.30349635,-121.70203635,USD
default,23658621,LRC-USD,BUY,2022-01-21T15:05:56.534Z,112.00000000,LRC,0.9575,0.5362,-107.7762,USD
default,23658622,LRC-USD,BUY,2022-01-21T15:05:56.534Z,112.00000000,LRC,0.9576,0.536256,-107.787456,USD
default,23658623,LRC-USD,BUY,2022-01-21T15:05:56.534Z,64.78285300,LRC,0.9576,0.310180300164,-62.346240332964,USD
default,24120786,AMP-USD,BUY,2021-12-31T14:49:28.375Z,4488.00000000,AMP,0.04925,0.773619,-221.807619,USD
default,24120787,AMP-USD,BUY,2021-12-31T14:49:28.375Z,11250.00000000,AMP,0.04925,1.93921875,-556.00171875,USD
default,24120788,AMP-USD,BUY,2021-12-31T14:49:28.375Z,2530.00000000,AMP,0.04926,0.4361973,-125.0639973,USD
default,24120789,AMP-USD,BUY,2021-12-31T14:49:28.375Z,1079.00000000,AMP,0.04926,0.18603039,-53.33757039,USD
default,24472572,AMP-USD,BUY,2022-01-05T19:36:38.142Z,4069.00000000,AMP,0.0489,0.9948705,-199.9689705,USD
default,24981137,LRC-USD,BUY,2022-01-28T14:08:31.134Z,108.00000000,LRC,0.9524,0.514296,-103.373496,USD
default,24981138,LRC-USD,BUY,2022-01-28T14:08:31.134Z,35.61665100,LRC,0.9525,0.1696243003875,-34.0944843778875,USD
default,24981139,LRC-USD,BUY,2022-01-28T14:08:31.134Z,108.00000000,LRC,0.9525,0.51435,-103.38435,USD
default,24981140,LRC-USD,BUY,2022-01-28T14:08:31.134Z,37.41533000,LRC,0.9526,0.17820921679,-35.82005257479,USD
default,24981141,LRC-USD,BUY,2022-01-28T14:08:31.134Z,24.36653300,LRC,0.9526,0.116057796679,-23.327617132479,USD
default,26541683,LRC-USD,BUY,2022-02-12T19:42:22.618Z,114.00000000,LRC,0.9544,0.544008,-109.345608,USD
default,26541684,LRC-USD,BUY,2022-02-12T19:42:22.618Z,91.80000000,LRC,0.9544,0.4380696,-88.0519896,USD
default,26541685,LRC-USD,BUY,2022-02-12T19:42:22.618Z,97.28893600,LRC,0.9544,0.464262802592,-93.316823320992,USD
default,26541686,LRC-USD,BUY,2022-02-12T19:42:22.618Z,217.70289700,LRC,0.9544,1.038878224484,-208.814523121284,USD
default,27318799,AMP-USD,BUY,2022-03-23T13:21:10.125Z,7247.00000000,AMP,0.02644,1.14966408,-192.76034408,USD
default,27318800,AMP-USD,BUY,2022-03-23T13:21:10.125Z,24000.00000000,AMP,0.02644,3.80736,-638.36736,USD
default,27318801,AMP-USD,BUY,2022-03-23T13:21:10.125Z,13215.00000000,AMP,0.02644,2.0964276,-351.5010276,USD
default,27345609,LRC-USD,BUY,2022-02-25T13:12:53.349Z,520.54691400,LRC,0.7655,1.992393313335,-400.471055980335,USD
default,27345610,LRC-USD,BUY,2022-02-25T13:12:53.349Z,0.00000100,LRC,0.7655,3.8275e-9,-7.693275e-7,USD
default,28514514,LRC-USD,SELL,2022-03-23T13:11:26.066Z,863.27134900,LRC,1.1898,6.1627215062412,1020.9575295339588,USD
default,28514515,LRC-USD,SELL,2022-03-23T13:11:26.066Z,136.72865100,LRC,1.1896,0.9759144193776,161.6764888102224,USD
